,pl_name,pl_discmethod,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbinclref,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_teff,pl_facility,pl_locale,pl_bmassjlim,st_spstr,pl_ttvflag,er,em,ep,ea,ers,ems,mmax,mmin,orbsmax,Pet,reli
508,Kepler-1571 b,Transit,0.122,0.009000000000000001,-0.008,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,3.38556402,1.583e-05,-1.583e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.25,0.06,-0.05,Berger et al. 2018,1.23,0.251,-0.159,Morton et al. 2016,[Fe/H],6297.0,Kepler,Space,,,0,0.06967213114754099,,4.675734945930811e-06,,0.044000000000000004,0.16666666666666669,,,0.04727774707160501,3.644876589877928,0.0
509,Kepler-1332 b,Transit,0.122,0.008,-0.004,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,11.87458418,4.29e-06,-4.29e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.9,0.04,-0.03,Morton et al. 2016,0.95,0.033,-0.038,Morton et al. 2016,[Fe/H],5581.0,Kepler,Space,,,0,0.049180327868852465,,3.612758084805627e-07,,0.03888888888888889,0.03736842105263159,,,0.10013545085092682,10.722138592045235,0.0
510,Kepler-1127 b,Transit,0.122,0.008,-0.008,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,5.12365752,1.812e-05,-1.812e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.82,0.04,-0.04,Berger et al. 2018,0.97,0.045,-0.052000000000000005,Morton et al. 2016,[Fe/H],5664.0,Kepler,Space,,,0,0.06557377049180327,,3.5365361422517564e-06,,0.04878048780487805,0.05,,,0.05757646827200958,6.766549105410583,0.0
511,Kepler-1483 b,Transit,0.122,0.009000000000000001,-0.009000000000000001,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,9.5085156,0.0001053,-0.0001053,Morton et al. 2016,,,,Morton et al. 2016,1.38,0.07,-0.07,Berger et al. 2018,1.25,0.20600000000000002,-0.139,Morton et al. 2016,[Fe/H],6337.0,Kepler,Space,,,0,0.0737704918032787,,1.1074283771485845e-05,,0.05072463768115943,0.13799999999999998,,,0.09461925740454848,6.607490042217073,0.0
512,K2-200 b,Transit,0.122,0.013,-0.009000000000000001,Mayo et al. 2018,,,,Mayo et al. 2018,87.96799999999998,1.44,-3.217,Mayo et al. 2018,,,,,,,,Mayo et al. 2018,2.849883,0.000188,-0.00018,Mayo et al. 2018,,,,Mayo et al. 2018,0.79,0.02,-0.02,Mayo et al. 2018,0.8602,0.0226,-0.0272,Mayo et al. 2018,[Fe/H],5233.0,K2,Space,,,0,0.09016393442622953,,6.45640540330954e-05,,0.02531645569620253,0.028946756568239945,,,0.037412685391777625,4.563813188658257,0.0
513,Kepler-1365 b,Transit,0.122,0.008,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,7.69993485,4.726e-05,-4.726e-05,Morton et al. 2016,,,,Morton et al. 2016,1.65,0.07,-0.07,Berger et al. 2018,1.0,0.043,-0.040999999999999995,Morton et al. 2016,[Fe/H],5770.0,Kepler,Space,,,0,0.06147540983606557,,6.1377142691019e-06,,0.042424242424242434,0.042,,,0.07631192619590696,4.457019559435907,0.0
514,Kepler-1047 c,Transit,0.122,0.006,-0.01,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,3.18896877,1.966e-05,-1.966e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.65,0.07,-0.07,Berger et al. 2018,1.08,0.046,-0.042,Morton et al. 2016,[Fe/H],5754.0,Kepler,Space,,,0,0.06557377049180327,,6.1650023621899575e-06,,0.042424242424242434,0.04074074074074074,,,0.043501992045230725,2.5407461072633493,0.0
515,Kepler-1437 b,Transit,0.122,0.015,-0.012,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,10.9295461,0.00011719999999999999,-0.00011719999999999999,Morton et al. 2016,,,,Morton et al. 2016,0.9,0.11,-0.06,Morton et al. 2016,0.93,0.040999999999999995,-0.046,Morton et al. 2016,[Fe/H],5557.0,Kepler,Space,,,0,0.11065573770491803,,1.0723226648909053e-05,,0.09444444444444444,0.046774193548387084,,,0.09407988597843114,10.073730807746351,0.0
516,Kepler-1572 b,Transit,0.122,0.009000000000000001,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,5.49548621,2.9199999999999998e-05,-2.9199999999999998e-05,Morton et al. 2016,,,,Morton et al. 2016,1.46,0.06,-0.06,Berger et al. 2018,0.97,0.044000000000000004,-0.040999999999999995,Morton et al. 2016,[Fe/H],5618.0,Kepler,Space,,,0,0.06557377049180327,,5.3134516008548034e-06,,0.0410958904109589,0.04381443298969072,,,0.06032940495008846,3.982100847130275,0.0
517,Kepler-334 c,Transit,0.122,0.006,-0.005,Berger et al. 2018,,,,Rowe et al. 2014,,,,Rowe et al. 2014,,,,,0.03,0.22,-0.22, Rowe et al. 2014,12.75799391,3.19e-06,-3.19e-06,Holczer et al. 2016,0.107,,,Rowe et al. 2014,1.01,0.04,-0.04,Berger et al. 2018,1.07,0.037000000000000005,-0.038,Morton et al. 2016,,5828.0,Kepler,Space,,,0,0.04508196721311476,,2.500393104514345e-07,,0.0396039603960396,0.035046728971962614,,,0.107,10.209358924719286,0.0
518,Kepler-901 b,Transit,0.122,0.006,-0.005,Morton et al. 2016,,,,Morton et al. 2016,,,,Morton et al. 2016,,,,,,,,Morton et al. 2016,3.51749079,1.27e-06,-1.27e-06,Holczer et al. 2016,,,,Morton et al. 2016,0.57,0.03,-0.02,Morton et al. 2016,0.59,0.036000000000000004,-0.036000000000000004,Morton et al. 2016,[Fe/H],4184.0,Kepler,Space,,,0,0.04508196721311476,,3.610528287978829e-07,,0.04385964912280702,0.061016949152542375,,,0.037964151565171966,6.418520185231957,0.0
519,K2-65 b,Transit,0.123,0.022,-0.008,Mayo et al. 2018,,,,Crossfield et al. 2016,89.148,0.623,-1.329,Mayo et al. 2018,,,,,,,,Crossfield et al. 2016,12.647815,0.0006730000000000001,-0.000717,Mayo et al. 2018,0.1014,0.0039,-0.0039,Crossfield et al. 2016,0.67,0.02,-0.02,Mayo et al. 2018,0.7019,0.0246,-0.0234,Mayo et al. 2018,,5213.0,K2,Space,,,0,0.12195121951219512,,5.495020286112661e-05,0.038461538461538464,0.02985074626865672,0.03419290497221827,,,0.1014,14.584757775368965,0.0
